Star-rating,Name,Reviewer Profile Url,Review Title,Review Content,images,profile icon,Date
5.0 out of 5 stars,Joyce,https://www.amazon.com/gp/customer-reviews/R38OVLNLIFN4GH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Indulgent chocolates,"These are the smoothest, most delicious chocolates. Wonderful dark chocolate flavor!",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on November 22, 2022"
5.0 out of 5 stars,Yes,https://www.amazon.com/gp/customer-reviews/RHXGZBSLOL2TZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Quality and the price,Family gift for thanksgiving,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on November 22, 2022"
5.0 out of 5 stars,John Gabel,https://www.amazon.com/gp/customer-reviews/R26F29I5QNO7W5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Tasty Candy,I really love Lindt LINDOR Dark Chocolate Truffles! They are my most succulent Choclate out there! If you really like dark choclate you will like these!,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on November 8, 2022"
5.0 out of 5 stars,Jennifer S. Mehler,https://www.amazon.com/gp/customer-reviews/R19XDMA4NK9Z3Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y," There is chocolate, and then there is *^*CHOCOLATE*^*.","Oh yes. I love Lindt LINDOR dark chocolate truffles.
In the winter I wait for the centers to melt in my mouth. But in the summer the inside chocolate is almost (but not quite) a rich creamy liquid. It doesn't get any better than that.",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on October 24, 2022"
5.0 out of 5 stars,A Dude,https://www.amazon.com/gp/customer-reviews/RF9XHIYPMML9V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Don't order in hot weather - you'll be sorry for the price you're paying,"I've ordered these numerous times, but they have doubled in price since I started. Last batch was gifted to someone in August ... huge mistake as they arrived and all were melted. They still all got eaten, but for what they cost, it's not the experience I was hoping for.",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on October 19, 2022"
5.0 out of 5 stars,Sarah Yahnke,https://www.amazon.com/gp/customer-reviews/RFXJZFZW43ASZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Great flavor,Great flavor. Arrived with an ice pack to ensure freshness,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on October 18, 2022"
5.0 out of 5 stars,Sky,https://www.amazon.com/gp/customer-reviews/R19W4OFO8LGRYM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, The best candy ever!!,You just can't beat the flavor of this chocolate truffle candy. It's perfect. Just melts in your mouth. Came in perfect condition. Great price! Love it!,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on October 18, 2022"
2.0 out of 5 stars,A.,https://www.amazon.com/gp/customer-reviews/R2EHEI13QFPUPP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Hit or miss,"I have ordered this chocolate many times for delivery. They are wonderful and tasty when they are kept cool during transport. With that said, if they are not packed well for shipping then they taste old because they have melted then hardened again. This chocolate is delicate because it is a truffle. So the inside of the chocolate ball melts easily. My last box was bought as a gift, mid-September, and it was nasty when it arrived. I was embarrassed and disappointed.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on September 29, 2022"
5.0 out of 5 stars,Jacque,https://www.amazon.com/gp/customer-reviews/RBAP0M4SSEPFJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Delicious. Don’t send too hot areas,Don’t order for hot locations in the summer. Will turn out to be a chocolate mess. Otherwise these candies are very delicious.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on September 28, 2022"
5.0 out of 5 stars,Harvey H,https://www.amazon.com/gp/customer-reviews/R1ZF58H7HG69K7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, tastes good,tastes good,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on September 13, 2022"
1.0 out of 5 stars,Amazon Customer,https://www.amazon.com/gp/customer-reviews/R1QUM21B7FAZ3W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, They melted while being shipped,I gifted these to my kids and just found out they arrived melted. I hadn’t thought about that happening. Shoooooot!,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on September 9, 2022"
5.0 out of 5 stars,Amanda,https://www.amazon.com/gp/customer-reviews/R3BPINISIZBLAE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, An Excellent Birthday Present for a Chocoholic,I gave these as a well-received gift for a chocoholic I know.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/05d0c47e-173f-4085-bcac-f5a3b2adb689._CR82,0,335,335_SX48_.jpg","Reviewed in the United States on September 5, 2022"
5.0 out of 5 stars,"Stephen M Scully, DC",https://www.amazon.com/gp/customer-reviews/R33W4KTFMA7AZN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Great dark chocolate,"Sometimes you just gotta have that dark, dark chocolate flavor. Sometimes it's fun to pair the dark truffle with a white chocolate simultaneously and your body heat melts them both and their flavors meld in your mouth.",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on September 2, 2022"
1.0 out of 5 stars,Kindle Customer,https://www.amazon.com/gp/customer-reviews/R5VLJTPI84V7F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Shipping process cannot deliver without melting,,"https://m.media-amazon.com/images/I/71fHFT1ST+L.88.jpg  
","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on August 29, 2022"
5.0 out of 5 stars,Luranie Bales,https://www.amazon.com/gp/customer-reviews/RLL62NGW2KX2H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, They are my oldest grandsons favorite. They came packed in ice to keep them fresh melting.,Grandsons favorite.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on August 6, 2022"
5.0 out of 5 stars,J P,https://www.amazon.com/gp/customer-reviews/R1477JQLPZ0CBQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Obsessed,"Came delivered on a hot summer day, I was sure the product would have melted. I was shocked and pleased the chocolate was fine- came with insulated wrapping with a giant ice pack. Very impressed. Will purchase again.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on July 30, 2022"
1.0 out of 5 stars,Sue Ellen Flansburg,https://www.amazon.com/gp/customer-reviews/R2VFRYZ3G3LY4O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, All melted, It was all melted,"https://m.media-amazon.com/images/I/81KF91euKZL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on July 23, 2022"
3.0 out of 5 stars,Joyce Ubben,https://www.amazon.com/gp/customer-reviews/RDT2B1GYS7QVW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Decent Quality But Overpriced,Overpriced - should've been greater quantity.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on June 24, 2022"
5.0 out of 5 stars,n/a,https://www.amazon.com/gp/customer-reviews/R2OZZ5RH1IGYIH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Mother likes your blue balls.,great candy.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on June 21, 2022"
3.0 out of 5 stars,Reid McCormick,https://www.amazon.com/gp/customer-reviews/R3406WHIMOPTWX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, 3 star,DO NOT BUY during Warm/Hot weather!!!!,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on June 18, 2022"
2.0 out of 5 stars,Yanika Styles,https://www.amazon.com/gp/customer-reviews/R3RLLRQH4LW97X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Unsatisfied,Most of the chocolate came melted or smashed not happy with that at all,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/8a5c8131-e8ca-447c-9192-bea23d99be2a._CR0,34.0,265,265_SX48_.jpg","Reviewed in the United States on June 13, 2022"
5.0 out of 5 stars,Alfie,https://www.amazon.com/gp/customer-reviews/RJP3HFTCLZWGO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, I have bought two boxes of this candy. Yum!,"Oddly enough, this candy did not spike my blood sugar. So I purchased another box. It is so rich, so creamy…delicious!",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on June 13, 2022"
3.0 out of 5 stars,C. Phillips,https://www.amazon.com/gp/customer-reviews/R2QKOVODOW6R3C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Melted. Probably won't do it again,I was told they were running late. They came in a cooler with melted ice pack and mostly melted truffles,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e8529575-1394-421d-a0da-576cfdd4f64d._CR0,0,375,375_SX48_.jpg","Reviewed in the United States on June 8, 2022"
5.0 out of 5 stars,Amazon Customer,https://www.amazon.com/gp/customer-reviews/R1YUJZLH2WCR6F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, melt in your mouth Deliciousness!,"Lindor truffles are my favorite chocolate, as well as my customers! I hand one to my customers as they check out with their purchase at my shop and it is a real highlight to their experience!",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on June 7, 2022"
5.0 out of 5 stars,SUSHWARYA,https://www.amazon.com/gp/customer-reviews/RVDYQKAT9A79E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Great gift,Good,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on May 26, 2022"
3.0 out of 5 stars,redtail,https://www.amazon.com/gp/customer-reviews/R15MFFLEXUJ7EK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Arrived melted,Truffles have always been excellent but these were not properly packaged and were melted into the wrapper.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on May 21, 2022"
1.0 out of 5 stars,Howler R.,https://www.amazon.com/gp/customer-reviews/R3L55FNBY6W01I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Don't buy through Amazon,"It came all nice and pretty until you open it up and the whole inside is a melted mess. If you are going to buy a big box of chocolate like this, do not buy this from Amazon (this is not a 3rd party vendor). They do not store this right.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on May 15, 2022"
1.0 out of 5 stars,Eun Seon Yang,https://www.amazon.com/gp/customer-reviews/R2Z8GPQP7YS8M9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, It’s a mess when I opened the box,"Some of them are melted, so there was melted chocolate in the box.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on May 15, 2022"
5.0 out of 5 stars,Berryknoll.,https://www.amazon.com/gp/customer-reviews/R1U73DS5Y2I15E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, yum,2 at night for a bedtime treat.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on May 13, 2022"
5.0 out of 5 stars,Robt Eagle,https://www.amazon.com/gp/customer-reviews/R1XJHULZCW4ND7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Scrumptious!!!,"Devoured in a very short time, addictive for sure.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on May 10, 2022"
5.0 out of 5 stars,O. Hummich-Bailey,https://www.amazon.com/gp/customer-reviews/R1PK0Y4J62OOZ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Freshness,"Eating,",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on May 9, 2022"
3.0 out of 5 stars,Russell McDaniel,https://www.amazon.com/gp/customer-reviews/R303EHTZBUL6BH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Not good for delivery,"The flavor is fine, but even a short delivery doesn’t fair well. I picked these up immediately off of my porch upon delivery. A Majority of them had melted (not completely.). If you don’t mind a little chocolate mess, go for it. Otherwise I’ll go to the store next time.",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on May 8, 2022"
1.0 out of 5 stars,mariann snider,https://www.amazon.com/gp/customer-reviews/R1ZLRVUUK3APMZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Melted chocolate,This chocolate should of been refrigerated in a cooler. Completely melted. So I put it in the freezer to stop the melting process ??,"https://m.media-amazon.com/images/I/81lBDg6wAgL.88.jpg  
","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on May 2, 2022"
3.0 out of 5 stars,Morgan P.,https://www.amazon.com/gp/customer-reviews/REOZJQXBRVC98/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Chocolates was bloomed,Purchased for a gift and of course I had to sample one first! Unfortunately the chocolate has a heavy bloom on it - still edible but not nice to include in my gift as planned.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on April 25, 2022"
3.0 out of 5 stars,Free Spirit,https://www.amazon.com/gp/customer-reviews/R3M6JQR984SUN1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Not the usual quality,"Very disappointed with this box. It is either very old or was left in a hot place in your warehouse.
There are white patches and mis-shapened balls of chocolate.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on April 24, 2022"
2.0 out of 5 stars,Joyce Strassberg,https://www.amazon.com/gp/customer-reviews/R2O3WQP2HRH6C2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, The chocolates were melting. Very soft and not very appetizing.,It obviously was old chocolates or badly stored. They were partially melted. Very soft and unappealing.,,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on April 22, 2022"
1.0 out of 5 stars,Susana Garcia,https://www.amazon.com/gp/customer-reviews/R1MFN6DMGT6M19/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Bad experience,I ordered for my granddaughter for Easter and the chocolate was melted and hot Poot quality and delivery. VERY disappointed and bad experience.,"https://m.media-amazon.com/images/I/810YSM4IKjL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on April 10, 2022"
1.0 out of 5 stars,Lilian,https://www.amazon.com/gp/customer-reviews/R2PESEC873X2SN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Received all melted chocolate box,I have received the box and took inside right away after it was delivered. All the chocolates were melted and it was such a messed up box!!!!,"https://m.media-amazon.com/images/I/61pZfOThA6L.88.jpg  
https://m.media-amazon.com/images/I/811oD2VXlFL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on April 6, 2022"
2.0 out of 5 stars,SpringShine,https://www.amazon.com/gp/customer-reviews/R1DIUWX3DFX3GQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, warning! chemical smell and taste!,"I have ordered these before and they were delicious. However, my order today the plastic on the box was open but I didn't think much of it. When I took out one of the truffles, there was a strange chemical smell, like cleaning supplies or something toxic. Again, I figured perhaps the Box had been stored near something that smelled and I didn't worry. But then I ate the candy and it TASTED like the same chemical/toxic smell! Yikes!
The taste is still lingering in my mouth and I am worried try any more of them. I will be trying to contacting Amazon about a return or exchange as soon as I finish posting this warning review.
I am not sure where this was shipped from but I just want people to be aware in case it was indeed stored next to something toxic and anyone else gets a box that is also contaminated.","https://m.media-amazon.com/images/I/71I+eThOwRL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on April 5, 2022"
1.0 out of 5 stars,Jean Gangl,https://www.amazon.com/gp/customer-reviews/R3ENOYZAWK2H8K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, All the chocolates where melted,As soon as we opened it all the chocolates where melted. And now i can’t get a refund.,"https://m.media-amazon.com/images/I/71KQ4CrQEyL.88.jpg  
",https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on March 13, 2022"
5.0 out of 5 stars,Jolie Lives,https://www.amazon.com/gp/customer-reviews/R5CCA178YBLQU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, A Bit of Heaven Inside Each One!,"I didn’t even get as far as Gifting these to anybody besides myself yet!! I’ve always been an incredibly thoughtful Gift Giver! To everyone except myself! Which finally stopped the Home Delivery I ordered these, for myself. Holy Moly are these Good! Did I say Good, I’m kinda only telling you a half/truth, since inside each dark chocolate hard shell-is a World Of Deliciousness!! Just, Shhh! Don’t Tell Anybody!!",,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/91b4fded-0e3d-4a44-9651-39a401738a3d._CR0,0,375,375_SX48_.jpg","Reviewed in the United States on March 9, 2022"
5.0 out of 5 stars,Lynn Harold,https://www.amazon.com/gp/customer-reviews/R1DSO2KKZ42Q98/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Delicious,Hard to give chocolate a bad review. Only complaint is that a few of the balls looked like they had been exposed to heat and 'oozed'.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/c9006584-ac07-4342-8f07-81cef2ee28c5._CR62,0,375,375_SX48_.jpg","Reviewed in the United States on February 26, 2022"
5.0 out of 5 stars,Pat M,https://www.amazon.com/gp/customer-reviews/R3LFPPSLFTHIYY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Enjoyed,Flavor was great,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on February 22, 2022"
5.0 out of 5 stars,Amazon Customer,https://www.amazon.com/gp/customer-reviews/R54HNNUZWXYQS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Great,Just exactly what I was looking for.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on February 21, 2022"
5.0 out of 5 stars,Charles E. Sorensen,https://www.amazon.com/gp/customer-reviews/R3B65GEBC7JP7U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, BEST DARK CHOCOLATE!,Love the soft center and the dark chocolate aftertaste!,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","Reviewed in the United States on February 15, 2022"
5.0 out of 5 stars,Barbara Lipani,https://www.amazon.com/gp/customer-reviews/R2R8ORMGGDI867/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Happy Valentines Day to me!,"Lindors Dark Chocolate Truffles is my favorite candy so I treated myself this Valentine's Day...quick delivery, packaged great, and deliciously fresh...had 4 already tonite ?",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on February 14, 2022"
5.0 out of 5 stars,Karen Theodore,https://www.amazon.com/gp/customer-reviews/R1197QAN4XFGBH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y," Irresistible, chocolate truffles"," I liked the smooth, creamy, rich, dark chocolate of Lindt’s truffles. I just don’t remember eating the whole box. Just kidding. I remember every delectable bite.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on February 8, 2022"
5.0 out of 5 stars,Marianne the traveler,https://www.amazon.com/gp/customer-reviews/RHRRK1OAT3FFL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Order in cold weather!,"Love the Dark Chocolate!
Melts in your mouth— yummo! Great for the Christmas holidays, both as personal enjoyment and gifting!",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on February 6, 2022"
1.0 out of 5 stars,K-T,https://www.amazon.com/gp/customer-reviews/R2O9Y8NS1BT2FA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, Price gouged,"Tasty chocolate. I bought this on January 20th, 2022 for $18.50. Now, on February 4th, 2022, it costs $27.99. Price gouging for Valentine's Day is NOT COOL.",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on February 4, 2022"
5.0 out of 5 stars,MG17,https://www.amazon.com/gp/customer-reviews/RYO5WNXO2STT4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B002RBRY0Y, What's not to love?,"This is a favorite holiday treat at my house, and is delicious every time. Cudos to Amazon for delivery; it arrived before Christmas even with port/shipment/trucking backlog at year end. Pretty amazing",,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,"Reviewed in the United States on February 3, 2022"
